ALLCOINS ANALYSIS

#BTC
1/ Autocorrelations of series ‘X’, by lag

   -17    -16    -15    -14    -13    -12    -11    -10     -9     -8     -7     -6     -5     -4     -3     -2     -1      0 
-0.042  0.003 -0.015 -0.056 -0.064 -0.042 -0.061 -0.006 -0.069 -0.094  0.016 -0.117 -0.069 -0.114  0.015 -0.063 -0.061 -0.042 
     1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17 
 0.169  0.082  0.154  0.075  0.184  0.168  0.107  0.133  0.121  0.089 -0.014  0.072  0.107  0.065  0.103  0.139  0.005 

2/ Tests for zero cross-correlation of x and y

|  Lag|     CC|  Stand. CB(95%)|  Robust CB(95%)|  Lag|      t| p-value| t-tilde| p-value|  Lag|     HB| p-value| Q-tilde| p-value|
|  -17|  0.030| (-0.189, 0.189)| (-0.176, 0.176)|  -17|  0.309|   0.757|   0.331|   0.741|  -17|  33.407|   0.015|   8.672|   0.967|
|  -16|  0.004| (-0.189, 0.189)| (-0.179, 0.179)|  -16|  0.039|   0.969|   0.041|   0.967|  -16|  33.294|   0.010|   8.582|   0.952|
|  -15| -0.112| (-0.189, 0.189)| (-0.174, 0.174)|  -15| -1.168|   0.243|  -1.269|   0.204|  -15|  33.292|   0.007|   6.477|   0.982|
|  -14| -0.128| (-0.189, 0.189)| (-0.174, 0.174)|  -14| -1.330|   0.184|  -1.440|   0.150|  -14|  31.708|   0.007|   6.424|   0.972|
|  -13| -0.240| (-0.189, 0.189)| (-0.246, 0.246)|  -13| -2.493| **0.013|  -1.914|   0.056|  -13|  29.676|   0.008|  11.884|   0.616|
|  -12| -0.143| (-0.189, 0.189)| (-0.222, 0.222)|  -12| -1.490|   0.136|  -1.264|   0.206|  -12|  22.608|   0.047|   4.961|   0.976|
|  -11| -0.104| (-0.189, 0.189)| (-0.195, 0.195)|  -11| -1.080|   0.280|  -1.043|   0.297|  -11|  20.112|   0.065|   4.054|   0.982|
|  -10| -0.103| (-0.189, 0.189)| (-0.185, 0.185)|  -10| -1.066|   0.286|  -1.089|   0.276|  -10|  18.814|   0.065|   2.967|   0.991|
|   -9| -0.126| (-0.189, 0.189)| (-0.176, 0.176)|   -9| -1.313|   0.189|  -1.406|   0.160|   -9|  17.562|   0.063|   8.414|   0.588|
|   -8| -0.141| (-0.189, 0.189)| (-0.222, 0.222)|   -8| -1.466|   0.143|  -1.243|   0.214|   -8|  15.681|   0.074|   5.593|   0.780|
|   -7| -0.112| (-0.189, 0.189)| (-0.189, 0.189)|   -7| -1.168|   0.243|  -1.165|   0.244|   -7|  13.360|   0.100|   5.230|   0.733|
|   -6| -0.122| (-0.189, 0.189)| (-0.181, 0.181)|   -6| -1.266|   0.206|  -1.316|   0.188|   -6|  11.902|   0.104|   5.153|   0.641|
|   -5| -0.135| (-0.189, 0.189)| (-0.161, 0.161)|   -5| -1.405|   0.160|  -1.646|   0.100|   -5|  10.206|   0.116|   4.867|   0.561|
|   -4| -0.134| (-0.189, 0.189)| (-0.220, 0.220)|   -4| -1.392|   0.164|  -1.192|   0.233|   -4|   8.136|   0.149|   9.801|   0.081|
|   -3| -0.186| (-0.189, 0.189)| (-0.179, 0.179)|   -3| -1.935|   0.053|  -2.034|   0.042|   -3|   6.124|   0.190|   5.715|   0.222|
|   -2| -0.110| (-0.189, 0.189)| (-0.154, 0.154)|   -2| -1.138|   0.255|  -1.398|   0.162|   -2|   2.272|   0.518|   2.505|   0.474|
|   -1| -0.032| (-0.189, 0.189)| (-0.199, 0.199)|   -1| -0.328|   0.743|  -0.311|   0.756|   -1|   0.952|   0.621|   0.826|   0.662|
|    0| -0.088| (-0.189, 0.189)| (-0.204, 0.204)|    0| -0.918|   0.358|  -0.848|   0.396|    0|   0.843|   0.358|   0.720|   0.396|
|    1|  0.002| (-0.189, 0.189)| (-0.173, 0.173)|    1|  0.022|   0.983|   0.024|   0.981|    1|   0.844|   0.656|   0.720|   0.698|
|    2| -0.094| (-0.189, 0.189)| (-0.150, 0.150)|    2| -0.978|   0.328|  -1.229|   0.219|    2|   1.818|   0.611|   2.231|   0.526|
|    3|  0.085| (-0.189, 0.189)| (-0.194, 0.194)|    3|  0.882|   0.378|   0.856|   0.392|    3|   2.617|   0.624|   2.964|   0.564|
|    4|  0.057| (-0.189, 0.189)| (-0.218, 0.218)|    4|  0.592|   0.554|   0.511|   0.609|    4|   2.981|   0.703|   3.225|   0.665|
|    5|  0.097| (-0.189, 0.189)| (-0.179, 0.179)|    5|  1.006|   0.315|   1.059|   0.289|    5|   4.041|   0.671|   4.347|   0.630|
|    6|  0.062| (-0.189, 0.189)| (-0.157, 0.157)|    6|  0.645|   0.519|   0.772|   0.440|    6|   4.482|   0.723|   4.944|   0.667|
|    7|  0.061| (-0.189, 0.189)| (-0.165, 0.165)|    7|  0.634|   0.526|   0.723|   0.470|    7|   4.911|   0.767|   6.412|   0.601|
|    8| -0.043| (-0.189, 0.189)| (-0.191, 0.191)|    8| -0.447|   0.655|  -0.441|   0.659|    8|   5.127|   0.823|   6.607|   0.678|
|    9| -0.040| (-0.189, 0.189)| (-0.166, 0.166)|    9| -0.412|   0.680|  -0.469|   0.639|    9|   5.312|   0.869|   6.827|   0.742|
|   10| -0.024| (-0.189, 0.189)| (-0.157, 0.157)|   10| -0.250|   0.803|  -0.300|   0.764|   10|   5.381|   0.911|   6.916|   0.806|
|   11|  0.065| (-0.189, 0.189)| (-0.166, 0.166)|   11|  0.672|   0.502|   0.763|   0.445|   11|   5.884|   0.922|   7.499|   0.823|
|   12| -0.096| (-0.189, 0.189)| (-0.211, 0.211)|   12| -0.998|   0.318|  -0.893|   0.372|   12|   7.005|   0.902|   8.297|   0.824|
|   13| -0.101| (-0.189, 0.189)| (-0.192, 0.192)|   13| -1.052|   0.293|  -1.035|   0.301|   13|   8.262|   0.875|   9.367|   0.807|
|   14| -0.076| (-0.189, 0.189)| (-0.187, 0.187)|   14| -0.789|   0.430|  -0.796|   0.426|   14|   8.978|   0.879|  10.001|   0.820|
|   15| -0.076| (-0.189, 0.189)| (-0.170, 0.170)|   15| -0.786|   0.432|  -0.871|   0.384|   15|   9.696|   0.882|  10.760|   0.824|
|   16|  0.102| (-0.189, 0.189)| (-0.251, 0.251)|   16|  1.060|   0.289|   0.797|   0.425|   16|  11.015|   0.856|  11.395|   0.835|
|   17| -0.051| (-0.189, 0.189)| (-0.216, 0.216)|   17| -0.525|   0.599|  -0.458|   0.647|   17|  11.343|   0.879|  11.605|   0.867|
|   18| -0.020| (-0.189, 0.189)| (-0.153, 0.153)|   18| -0.206|   0.837|  -0.255|   0.799|   18|  11.394|   0.910|  11.669|   0.899|
|   19|  0.041| (-0.189, 0.189)| (-0.149, 0.149)|   19|  0.425|   0.671|   0.539|   0.590|   19|  11.613|   0.929|  12.376|   0.903|
|   20| -0.092| (-0.189, 0.189)| (-0.167, 0.167)|   20| -0.959|   0.338|  -1.085|   0.278|   20|  12.742|   0.917|  13.553|   0.888|
|   21|  0.081| (-0.189, 0.189)| (-0.149, 0.149)|   21|  0.840|   0.401|   1.062|   0.288|   21|  13.618|   0.914|  14.681|   0.876|
|   22|  0.010| (-0.189, 0.189)| (-0.147, 0.147)|   22|  0.106|   0.916|   0.136|   0.892|   22|  13.632|   0.937|  14.700|   0.905|
|   23| -0.034| (-0.189, 0.189)| (-0.168, 0.168)|   23| -0.350|   0.727|  -0.391|   0.696|   23|  13.787|   0.951|  14.853|   0.925|
|   24| -0.021| (-0.189, 0.189)| (-0.186, 0.186)|   24| -0.216|   0.829|  -0.219|   0.826|   24|  13.847|   0.964|  14.901|   0.944|
|   25| -0.062| (-0.189, 0.189)| (-0.170, 0.170)|   25| -0.645|   0.519|  -0.714|   0.475|   25|  14.388|   0.968|  15.411|   0.949|
|   26|  0.035| (-0.189, 0.189)| (-0.158, 0.158)|   26|  0.359|   0.719|   0.429|   0.668|   26|  14.558|   0.975|  15.595|   0.960|
|   27|  0.002| (-0.189, 0.189)| (-0.149, 0.149)|   27|  0.021|   0.984|   0.026|   0.979|   27|  14.559|   0.983|  15.595|   0.971|
|   28|  0.018| (-0.189, 0.189)| (-0.146, 0.146)|   28|  0.184|   0.854|   0.237|   0.813|   28|  14.604|   0.988|  15.651|   0.979|
|   29|  0.043| (-0.189, 0.189)| (-0.161, 0.161)|   29|  0.442|   0.659|   0.516|   0.606|   29|  14.871|   0.990|  15.918|   0.983|
|   30| -0.061| (-0.189, 0.189)| (-0.145, 0.145)|   30| -0.637|   0.524|  -0.829|   0.407|   30|  15.433|   0.991|  16.606|   0.984|
|   31|  0.064| (-0.189, 0.189)| (-0.207, 0.207)|   31|  0.661|   0.508|   0.602|   0.547|   31|  16.046|   0.992|  16.969|   0.986|
|   32| -0.030| (-0.189, 0.189)| (-0.163, 0.163)|   32| -0.308|   0.758|  -0.356|   0.722|   32|  16.181|   0.994|  17.095|   0.990|
|   33|  0.027| (-0.189, 0.189)| (-0.143, 0.143)|   33|  0.284|   0.776|   0.375|   0.707|   33|  16.298|   0.996|  17.236|   0.992|
|   34|  0.027| (-0.189, 0.189)| (-0.126, 0.126)|   34|  0.278|   0.781|   0.417|   0.677|   34|  16.411|   0.997|  17.410|   0.994|
|   35|  0.076| (-0.189, 0.189)| (-0.106, 0.106)|   35|  0.791|   0.429|   1.410|   0.158|   35|  17.336|   0.996|  19.399|   0.989|
|   36|  0.048| (-0.189, 0.189)| (-0.130, 0.130)|   36|  0.498|   0.618|   0.723|   0.469|   36|  17.708|   0.997|  19.923|   0.990|
|   37| -0.068| (-0.189, 0.189)| (-0.146, 0.146)|   37| -0.710|   0.478|  -0.915|   0.360|   37|  18.475|   0.997|  20.539|   0.991|
|   38|  0.041| (-0.189, 0.189)| (-0.135, 0.135)|   38|  0.431|   0.667|   0.603|   0.547|   38|  18.761|   0.997|  21.362|   0.990|
|   39|  0.067| (-0.189, 0.189)| (-0.140, 0.140)|   39|  0.701|   0.483|   0.947|   0.344|   39|  19.530|   0.997|  22.098|   0.990|
|   40|  0.079| (-0.189, 0.189)| (-0.124, 0.124)|   40|  0.819|   0.413|   1.250|   0.211|   40|  20.594|   0.997|  23.660|   0.986|
|   41|  0.067| (-0.189, 0.189)| (-0.130, 0.130)|   41|  0.694|   0.488|   1.006|   0.314|   41|  21.371|   0.997|  24.673|   0.985|
|   42| -0.016| (-0.189, 0.189)| (-0.108, 0.108)|   42| -0.162|   0.871|  -0.282|   0.778|   42|  21.413|   0.998|  24.753|   0.988|
|   43|  0.029| (-0.189, 0.189)| (-0.135, 0.135)|   43|  0.302|   0.763|   0.421|   0.674|   43|  21.565|   0.998|  24.930|   0.991|
|   44|  0.084| (-0.189, 0.189)| (-0.131, 0.131)|   44|  0.872|   0.383|   1.253|   0.210|   44|  22.846|   0.998|  26.500|   0.987|
|   45|  0.034| (-0.189, 0.189)| (-0.114, 0.114)|   45|  0.352|   0.725|   0.581|   0.561|   45|  23.058|   0.998|  26.838|   0.989|
|   46|  0.079| (-0.189, 0.189)| (-0.120, 0.120)|   46|  0.822|   0.411|   1.292|   0.196|   46|  24.235|   0.998|  28.508|   0.985|
|   47|  0.050| (-0.189, 0.189)| (-0.121, 0.121)|   47|  0.521|   0.602|   0.811|   0.417|   47|  24.716|   0.998|  29.166|   0.985|
|   48|  0.010| (-0.189, 0.189)| (-0.111, 0.111)|   48|  0.104|   0.917|   0.177|   0.859|   48|  24.735|   0.998|  29.197|   0.989|
|   49|  0.080| (-0.189, 0.189)| (-0.115, 0.115)|   49|  0.836|   0.403|   1.367|   0.172|   49|  26.015|   0.998|  31.066|   0.984|
|   50|  0.011| (-0.189, 0.189)| (-0.113, 0.113)|   50|  0.113|   0.910|   0.188|   0.850|   50|  26.038|   0.999|  31.101|   0.987|
|   51|  0.001| (-0.189, 0.189)| (-0.203, 0.203)|   51|  0.010|   0.992|   0.009|   0.993|   51|  26.038|   0.999|  31.101|   0.991|
|   52| -0.001| (-0.189, 0.189)| (-0.146, 0.146)|   52| -0.010|   0.992|  -0.012|   0.990|   52|  26.039|   0.999|  31.101|   0.993|
|   53|  0.005| (-0.189, 0.189)| (-0.100, 0.100)|   53|  0.055|   0.956|   0.104|   0.917|   53|  26.045|   1.000|  31.112|   0.995|
|   54|  0.052| (-0.189, 0.189)| (-0.106, 0.106)|   54|  0.545|   0.586|   0.970|   0.332|   54|  26.639|   1.000|  32.053|   0.994|
|   55| -0.064| (-0.189, 0.189)| (-0.113, 0.113)|   55| -0.668|   0.504|  -1.116|   0.264|   55|  27.549|   1.000|  33.299|   0.993|
|   56| -0.005| (-0.189, 0.189)| (-0.110, 0.110)|   56| -0.051|   0.960|  -0.087|   0.931|   56|  27.555|   1.000|  33.354|   0.995|
|   57| -0.105| (-0.189, 0.189)| (-0.104, 0.104)|   57| -1.090|   0.276|  -1.979|   0.048|   57|  30.070|   0.999|  37.271|   0.984|
|   58| -0.026| (-0.189, 0.189)| (-0.118, 0.118)|   58| -0.273|   0.785|  -0.436|   0.663|   58|  30.231|   0.999|  37.462|   0.987|
|   59|  0.025| (-0.189, 0.189)| (-0.088, 0.088)|   59|  0.256|   0.798|   0.546|   0.585|   59|  30.376|   0.999|  37.760|   0.989|
|   60| -0.015| (-0.189, 0.189)| (-0.125, 0.125)|   60| -0.160|   0.873|  -0.242|   0.809|   60|  30.433|   1.000|  37.819|   0.991|
|   61|  0.025| (-0.189, 0.189)| (-0.099, 0.099)|   61|  0.262|   0.794|   0.497|   0.619|   61|  30.590|   1.000|  38.066|   0.993|
|   62|  0.005| (-0.189, 0.189)| (-0.104, 0.104)|   62|  0.056|   0.955|   0.102|   0.919|   62|  30.598|   1.000|  38.076|   0.995|
|   63|  0.030| (-0.189, 0.189)| (-0.078, 0.078)|   63|  0.311|   0.756|   0.754|   0.451|   63|  30.830|   1.000|  38.644|   0.995|
|   64|  0.062| (-0.189, 0.189)| (-0.098, 0.098)|   64|  0.644|   0.520|   1.238|   0.216|   64|  31.847|   1.000|  40.176|   0.993|
|   65|  0.084| (-0.189, 0.189)| (-0.105, 0.105)|   65|  0.869|   0.385|   1.555|   0.120|   65|  33.743|   1.000|  42.595|   0.989|
|   66|  0.053| (-0.189, 0.189)| (-0.094, 0.094)|   66|  0.548|   0.584|   1.101|   0.271|   66|  34.514|   1.000|  43.806|   0.987|
|   67|  0.049| (-0.189, 0.189)| (-0.119, 0.119)|   67|  0.509|   0.611|   0.806|   0.420|   67|  35.195|   1.000|  44.455|   0.988|
|   68|  0.053| (-0.189, 0.189)| (-0.088, 0.088)|   68|  0.554|   0.579|   1.192|   0.233|   68|  36.025|   1.000|  45.876|   0.986|
|   69|  0.013| (-0.189, 0.189)| (-0.091, 0.091)|   69|  0.135|   0.892|   0.281|   0.779|   69|  36.075|   1.000|  45.955|   0.988|
|   70| -0.018| (-0.189, 0.189)| (-0.073, 0.073)|   70| -0.190|   0.849|  -0.489|   0.625|   70|  36.178|   1.000|  46.194|   0.990|
|   71|  0.075| (-0.189, 0.189)| (-0.063, 0.063)|   71|  0.783|   0.433|   2.347|   0.019|   71|  37.969|   1.000|  51.701|   0.966|
|   72|  0.027| (-0.189, 0.189)| (-0.066, 0.066)|   72|  0.281|   0.778|   0.809|   0.419|   72|  38.207|   1.000|  52.355|   0.968|
|   73|  0.001| (-0.189, 0.189)| (-0.071, 0.071)|   73|  0.015|   0.988|   0.040|   0.968|   73|  38.207|   1.000|  52.356|   0.973|
|   74|  0.015| (-0.189, 0.189)| (-0.058, 0.058)|   74|  0.154|   0.878|   0.497|   0.619|   74|  38.283|   1.000|  52.604|   0.977|
|   75|  0.013| (-0.189, 0.189)| (-0.064, 0.064)|   75|  0.134|   0.893|   0.397|   0.691|   75|  38.342|   1.000|  52.761|   0.981|
|   76|  0.014| (-0.189, 0.189)| (-0.068, 0.068)|   76|  0.146|   0.884|   0.404|   0.686|   76|  38.413|   1.000|  52.924|   0.984|
|   77|  0.033| (-0.189, 0.189)| (-0.056, 0.056)|   77|  0.345|   0.730|   1.171|   0.242|   77|  38.828|   1.000|  54.295|   0.981|
|   78|  0.011| (-0.189, 0.189)| (-0.068, 0.068)|   78|  0.116|   0.908|   0.320|   0.749|   78|  38.876|   1.000|  54.398|   0.984|
|   79| -0.003| (-0.189, 0.189)| (-0.054, 0.054)|   79| -0.034|   0.973|  -0.120|   0.904|   79|  38.880|   1.000|  54.412|   0.987|
|   80|  0.012| (-0.189, 0.189)| (-0.052, 0.052)|   80|  0.123|   0.902|   0.447|   0.655|   80|  38.939|   1.000|  54.611|   0.989|
|   81|  0.004| (-0.189, 0.189)| (-0.060, 0.060)|   81|  0.045|   0.964|   0.140|   0.888|   81|  38.947|   1.000|  54.621|   0.991|
|   82| -0.006| (-0.189, 0.189)| (-0.061, 0.061)|   82| -0.063|   0.949|  -0.195|   0.845|   82|  38.963|   1.000|  54.659|   0.993|
|   83| -0.026| (-0.189, 0.189)| (-0.056, 0.056)|   83| -0.266|   0.790|  -0.891|   0.373|   83|  39.270|   1.000|  55.452|   0.993|
|   84| -0.012| (-0.189, 0.189)| (-0.055, 0.055)|   84| -0.124|   0.901|  -0.422|   0.673|   84|  39.339|   1.000|  55.631|   0.994|
|   85| -0.044| (-0.189, 0.189)| (-0.051, 0.051)|   85| -0.460|   0.645|  -1.698|   0.090|   85|  40.334|   1.000|  58.513|   0.990|
|   86|  0.001| (-0.189, 0.189)| (-0.058, 0.058)|   86|  0.008|   0.993|   0.027|   0.978|   86|  40.334|   1.000|  58.513|   0.992|
|   87| -0.041| (-0.189, 0.189)| (-0.048, 0.048)|   87| -0.427|   0.669|  -1.673|   0.094|   87|  41.273|   1.000|  61.312|   0.986|
|   88| -0.003| (-0.189, 0.189)| (-0.052, 0.052)|   88| -0.032|   0.974|  -0.117|   0.907|   88|  41.279|   1.000|  61.326|   0.989|
|   89|  0.009| (-0.189, 0.189)| (-0.054, 0.054)|   89|  0.099|   0.922|   0.342|   0.732|   89|  41.334|   1.000|  61.443|   0.991|
|   90|  0.009| (-0.189, 0.189)| (-0.076, 0.076)|   90|  0.091|   0.928|   0.226|   0.821|   90|  41.384|   1.000|  61.494|   0.992|
|   91|  0.013| (-0.189, 0.189)| (-0.051, 0.051)|   91|  0.134|   0.893|   0.500|   0.617|   91|  41.498|   1.000|  61.744|   0.994|
|   92| -0.029| (-0.189, 0.189)| (-0.053, 0.053)|   92| -0.303|   0.762|  -1.088|   0.277|   92|  42.118|   1.000|  62.927|   0.993|
|   93|  0.047| (-0.189, 0.189)| (-0.079, 0.079)|   93|  0.493|   0.622|   1.185|   0.236|   93|  43.870|   1.000|  64.331|   0.992|
|   94| -0.007| (-0.189, 0.189)| (-0.039, 0.039)|   94| -0.077|   0.939|  -0.370|   0.711|   94|  43.915|   1.000|  64.468|   0.993|
|   95|  0.025| (-0.189, 0.189)| (-0.087, 0.087)|   95|  0.261|   0.794|   0.567|   0.571|   95|  44.479|   1.000|  64.789|   0.994|
|   96|  0.021| (-0.189, 0.189)| (-0.047, 0.047)|   96|  0.222|   0.825|   0.889|   0.374|   96|  44.921|   1.000|  65.580|   0.994|
|   97|  0.009| (-0.189, 0.189)| (-0.036, 0.036)|   97|  0.092|   0.927|   0.477|   0.633|   97|  45.005|   1.000|  65.808|   0.995|
|   98|  0.009| (-0.189, 0.189)| (-0.023, 0.023)|   98|  0.091|   0.927|   0.739|   0.460|   98|  45.095|   1.000|  66.355|   0.995|
|   99| -0.016| (-0.189, 0.189)| (-0.021, 0.021)|   99| -0.165|   0.869|  -1.486|   0.137|   99|  45.422|   1.000|  68.563|   0.993|
|  100|  0.001| (-0.189, 0.189)| (-0.023, 0.023)|  100|  0.013|   0.990|   0.106|   0.915|  100|  45.424|   1.000|  68.574|   0.994|
|  101| -0.034| (-0.189, 0.189)| (-0.050, 0.050)|  101| -0.357|   0.721|  -1.336|   0.182|  101|  47.388|   1.000|  70.359|   0.993|
|  102|  0.029| (-0.189, 0.189)| (-0.046, 0.046)|  102|  0.298|   0.765|   1.215|   0.224|  102|  48.991|   1.000|  71.836|   0.992|
|  103|  0.006| (-0.189, 0.189)| (-0.020, 0.020)|  103|  0.058|   0.954|   0.536|   0.592|  103|  49.064|   1.000|  72.123|   0.993|
|  104|  0.020| (-0.189, 0.189)| (-0.050, 0.050)|  104|  0.213|   0.832|   0.803|   0.422|  104|  50.286|   1.000|  72.768|   0.993|
|  105|  0.010| (-0.189, 0.189)| (-0.016, 0.016)|  105|  0.100|   0.920|   1.155|   0.248|  105|  50.646|   1.000|  74.103|   0.992|
|  106| -0.009| (-0.189, 0.189)| (-0.017, 0.017)|  106| -0.090|   0.929|  -1.019|   0.308|  106|  51.079|   1.000|  75.142|   0.992|
|  107|  0.000| (-0.189, 0.189)| ( 0.000, 0.000)|  107|  0.002|   0.999|   1.000|   0.317|  107|  51.079|   1.000|  76.142|   0.991|





#XRP

1/ Autocorrelations of series ‘X’, by lag

   -17    -16    -15    -14    -13    -12    -11    -10     -9     -8     -7     -6     -5     -4     -3     -2     -1      0 
 0.083  0.045  0.046 -0.017  0.012  0.063 -0.086  0.015 -0.054  0.089  0.176 -0.043  0.057  0.206 -0.109  0.011 -0.101  0.137 
     1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17 
-0.016 -0.070  0.134  0.159  0.132  0.088  0.014 -0.012  0.052  0.021  0.042 -0.001  0.069 -0.008 -0.045  0.182  0.046 

2/ Tests for zero cross-correlation of x and y

|  Lag|     CC|  Stand. CB(95%)|  Robust CB(95%)|  Lag|      t| p-value| t-tilde| p-value|  Lag|      HB| p-value| Q-tilde| p-value|
|----:|------:|---------------:|---------------:|----:|------:|-------:|-------:|-------:|----:|-------:|-------:|-------:|-------:|
| -107|  0.003| (-0.189, 0.189)| (-0.006, 0.006)| -107|  0.033|   0.974|   1.000|   0.317| -107| 126.628|   0.106| 113.792|   0.333|
| -106| -0.008| (-0.189, 0.189)| (-0.011, 0.011)| -106| -0.082|   0.935|  -1.356|   0.175| -106| 126.513|   0.096| 112.792|   0.332|
| -105|  0.010| (-0.189, 0.189)| (-0.012, 0.012)| -105|  0.102|   0.919|   1.559|   0.119| -105| 126.153|   0.088| 110.953|   0.352|
| -104| -0.013| (-0.189, 0.189)| (-0.016, 0.016)| -104| -0.140|   0.889|  -1.602|   0.109| -104| 125.781|   0.082| 108.524|   0.387|
| -103|  0.005| (-0.189, 0.189)| (-0.020, 0.020)| -103|  0.050|   0.960|   0.463|   0.644| -103| 125.250|   0.076| 105.956|   0.428|
| -102| -0.021| (-0.189, 0.189)| (-0.032, 0.032)| -102| -0.216|   0.829|  -1.270|   0.204| -102| 125.196|   0.068| 105.743|   0.407|
| -101|  0.018| (-0.189, 0.189)| (-0.040, 0.040)| -101|  0.182|   0.855|   0.862|   0.389| -101| 124.358|   0.066| 104.129|   0.423|
| -100|  0.001| (-0.189, 0.189)| (-0.042, 0.042)| -100|  0.012|   0.990|   0.056|   0.955| -100| 123.844|   0.061| 103.386|   0.415|
|  -99| -0.009| (-0.189, 0.189)| (-0.049, 0.049)|  -99| -0.097|   0.923|  -0.374|   0.708|  -99| 123.842|   0.053| 103.383|   0.388|
|  -98|  0.008| (-0.189, 0.189)| (-0.062, 0.062)|  -98|  0.082|   0.935|   0.248|   0.804|  -98| 123.729|   0.047| 103.243|   0.365|
|  -97|  0.055| (-0.189, 0.189)| (-0.095, 0.095)|  -97|  0.577|   0.564|   1.143|   0.253|  -97| 123.657|   0.041| 103.182|   0.340|
|  -96| -0.023| (-0.189, 0.189)| (-0.055, 0.055)|  -96| -0.244|   0.807|  -0.835|   0.404|  -96| 120.393|   0.054| 101.875|   0.348|
|  -95| -0.014| (-0.189, 0.189)| (-0.082, 0.082)|  -95| -0.143|   0.887|  -0.327|   0.744|  -95| 119.857|   0.050| 101.178|   0.339|
|  -94|  0.072| (-0.189, 0.189)| (-0.105, 0.105)|  -94|  0.751|   0.453|   1.352|   0.176|  -94| 119.688|   0.044| 101.071|   0.316|
|  -93|  0.099| (-0.189, 0.189)| (-0.154, 0.154)|  -93|  1.027|   0.304|   1.261|   0.207|  -93| 115.341|   0.067|  99.243|   0.336|
|  -92|  0.019| (-0.189, 0.189)| (-0.071, 0.071)|  -92|  0.198|   0.843|   0.529|   0.597|  -92| 107.747|   0.141|  97.652|   0.350|
|  -91|  0.025| (-0.189, 0.189)| (-0.043, 0.043)|  -91|  0.258|   0.796|   1.131|   0.258|  -91| 107.483|   0.129|  97.372|   0.331|
|  -90|  0.030| (-0.189, 0.189)| (-0.068, 0.068)|  -90|  0.307|   0.759|   0.849|   0.396|  -90| 107.059|   0.120|  96.092|   0.337|
|  -89| -0.064| (-0.189, 0.189)| (-0.068, 0.068)|  -89| -0.665|   0.506|  -1.849|   0.064|  -89| 106.494|   0.113|  95.372|   0.329|
|  -88| -0.063| (-0.189, 0.189)| (-0.084, 0.084)|  -88| -0.654|   0.513|  -1.462|   0.144|  -88| 103.982|   0.132|  91.952|   0.394|
|  -87|  0.032| (-0.189, 0.189)| (-0.091, 0.091)|  -87|  0.328|   0.743|   0.682|   0.495|  -87| 101.676|   0.151|  89.815|   0.426|
|  -86| -0.038| (-0.189, 0.189)| (-0.100, 0.100)|  -86| -0.391|   0.696|  -0.735|   0.463|  -86| 101.124|   0.143|  89.350|   0.410|
|  -85| -0.074| (-0.189, 0.189)| (-0.100, 0.100)|  -85| -0.767|   0.443|  -1.443|   0.149|  -85| 100.375|   0.138|  88.811|   0.396|
|  -84|  0.041| (-0.189, 0.189)| (-0.064, 0.064)|  -84|  0.422|   0.673|   1.243|   0.214|  -84|  97.613|   0.165|  86.728|   0.428|
|  -83| -0.053| (-0.189, 0.189)| (-0.127, 0.127)|  -83| -0.555|   0.579|  -0.821|   0.412|  -83|  96.811|   0.160|  85.183|   0.443|
|  -82| -0.070| (-0.189, 0.189)| (-0.193, 0.193)|  -82| -0.725|   0.469|  -0.709|   0.478|  -82|  95.480|   0.165|  84.508|   0.433|
|  -81| -0.082| (-0.189, 0.189)| (-0.111, 0.111)|  -81| -0.852|   0.394|  -1.448|   0.148|  -81|  93.300|   0.185|  84.005|   0.418|
|  -80|  0.115| (-0.189, 0.189)| (-0.083, 0.083)|  -80|  1.199|   0.231|   2.733|   0.006|  -80|  90.394|   0.223|  81.909|   0.451|
|  -79| -0.010| (-0.189, 0.189)| (-0.078, 0.078)|  -79| -0.108|   0.914|  -0.263|   0.792|  -79|  84.849|   0.334|  74.441|   0.654|
|  -78| -0.049| (-0.189, 0.189)| (-0.110, 0.110)|  -78| -0.505|   0.614|  -0.868|   0.385|  -78|  84.806|   0.307|  74.381|   0.626|
|  -77|  0.015| (-0.189, 0.189)| (-0.166, 0.166)|  -77|  0.151|   0.880|   0.172|   0.864|  -77|  83.888|   0.304|  73.114|   0.635|
|  -76| -0.005| (-0.189, 0.189)| (-0.107, 0.107)|  -76| -0.056|   0.955|  -0.099|   0.921|  -76|  83.809|   0.279|  73.085|   0.605|
|  -75| -0.121| (-0.189, 0.189)| (-0.131, 0.131)|  -75| -1.262|   0.207|  -1.818|   0.069|  -75|  83.798|   0.253|  73.075|   0.574|
|  -74|  0.003| (-0.189, 0.189)| (-0.179, 0.179)|  -74|  0.028|   0.978|   0.029|   0.977|  -74|  78.587|   0.366|  69.770|   0.649|
|  -73|  0.136| (-0.189, 0.189)| (-0.164, 0.164)|  -73|  1.413|   0.158|   1.623|   0.105|  -73|  78.585|   0.336|  69.769|   0.618|
|  -72|  0.079| (-0.189, 0.189)| (-0.145, 0.145)|  -72|  0.825|   0.409|   1.075|   0.282|  -72|  72.427|   0.497|  67.134|   0.671|
|  -71| -0.002| (-0.189, 0.189)| (-0.083, 0.083)|  -71| -0.026|   0.980|  -0.058|   0.953|  -71|  70.385|   0.532|  65.978|   0.677|
